pair,beta_unadj,se,adj_p,exp_cat,out_cat,dce_beta,exp,out,non_zero_in_dce,exposure_name,outcome_name
1923_vs_AUD,0.0302707509369664,0.0100168494625154,0.0077602589847665,WM tract ICVF,substance use,0.0088462558603116,1923,AUD,True,IDP dMRI TBSS ICVF Retrolenticular part of internal capsule L,AUD
1922_vs_MDD,-0.0794276607041933,0.0158670277592209,2.633289323805701e-06,WM tract ICVF,internalizing,-0.0222654005185179,1922,MDD,True,IDP dMRI TBSS ICVF Retrolenticular part of internal capsule R,MDD
1906_vs_AUD,0.0379490983286303,0.0101793316454835,0.0007052695599992,WM tract ICVF,substance use,0.0104981438267165,1906,AUD,True,IDP dMRI TBSS ICVF Splenium of corpus callosum,AUD
1915_vs_BD,0.0873520204371215,0.0295805459677914,0.0095494843626128,WM tract ICVF,bd/scz,0.0,1915,BD,False,IDP dMRI TBSS ICVF Superior cerebellar peduncle L,BD
1914_vs_BD,0.137574416628492,0.0321205209053263,7.57920836579977e-05,WM tract ICVF,bd/scz,0.0133227348560458,1914,BD,True,IDP dMRI TBSS ICVF Superior cerebellar peduncle R,BD
1927_vs_MDD,-0.0784352838627323,0.0177803244120159,4.336563046298574e-05,WM tract ICVF,internalizing,-0.0159347449589065,1927,MDD,True,IDP dMRI TBSS ICVF Superior corona radiata L,MDD
1717_vs_BD,0.117775201376803,0.0335286769372269,0.0015434767272772,WM tract diffusivity,bd/scz,0.0077734111689527,1717,BD,True,IDP dMRI TBSS L2 Posterior limb of internal capsule L,BD
1716_vs_MDD,0.079270053909734,0.0186287484814847,8.538736632520545e-05,WM tract diffusivity,internalizing,0.0197666319601313,1716,MDD,True,IDP dMRI TBSS L2 Posterior limb of internal capsule R,MDD
1769_vs_AUD,-0.0506819180931726,0.0163780639996431,0.006205776114351,WM tract diffusivity,substance use,-0.0117074492829342,1769,AUD,True,IDP dMRI TBSS L3 Anterior corona radiata L,AUD
1762_vs_TUD,-0.0553894297514074,0.0185075297191966,0.0084759735158624,WM tract diffusivity,substance use,-0.0070990524786092,1762,TUD,True,IDP dMRI TBSS L3 Anterior limb of internal capsule R,TUD
1777_vs_MDD,0.0508969702011129,0.017004975662972,0.0084696727059938,WM tract diffusivity,internalizing,0.0,1777,MDD,False,IDP dMRI TBSS L3 Sagittal stratum L,MDD
1786_vs_MDD,0.14528503804581,0.0227317640965603,9.740558337937463e-10,WM tract diffusivity,internalizing,0.0419491797123591,1786,MDD,True,IDP dMRI TBSS L3 Superior longitudinal fasciculus R,MDD
1786_vs_TUD,-0.0573056870833,0.0168428003251732,0.0022658506389686,WM tract diffusivity,substance use,-0.0131060898105891,1786,TUD,True,IDP dMRI TBSS L3 Superior longitudinal fasciculus R,TUD
1786_vs_AUD,0.0966886795714396,0.0223227396592641,6.148782436842655e-05,WM tract diffusivity,substance use,0.0004309980026495,1786,AUD,True,IDP dMRI TBSS L3 Superior longitudinal fasciculus R,AUD
1625_vs_MDD,0.0782943618443174,0.0179753584237896,5.5381508326662986e-05,WM tract diffusivity,internalizing,0.0170652721073627,1625,MDD,True,IDP dMRI TBSS MD Anterior corona radiata L,MDD
1625_vs_AUD,-0.041390021235622,0.0140358597035883,0.0096654054648911,WM tract diffusivity,substance use,-0.0113105639331729,1625,AUD,True,IDP dMRI TBSS MD Anterior corona radiata L,AUD
1624_vs_AUD,-0.0390189364029076,0.013246867881478,0.0097632862791696,WM tract diffusivity,substance use,-0.0088674512329992,1624,AUD,True,IDP dMRI TBSS MD Anterior corona radiata R,AUD
1619_vs_PTSD,0.0893749499016109,0.0223100237527674,0.0002391354869398,WM tract diffusivity,internalizing,0.0110181996493094,1619,PTSD,True,IDP dMRI TBSS MD Anterior limb of internal capsule L,PTSD
1633_vs_MDD,0.0630474288877402,0.0190043190933924,0.0030183016105292,WM tract diffusivity,internalizing,0.0062131553682071,1633,MDD,True,IDP dMRI TBSS MD Sagittal stratum L,MDD
1643_vs_BD,0.132078655734783,0.0401510051197607,0.0033129901190103,WM tract diffusivity,bd/scz,0.0007087120636757,1643,BD,True,IDP dMRI TBSS MD Superior longitudinal fasciculus L,BD
ADHD_vs_1994,0.182535464828542,0.0473473504388473,0.0004347125159337,neurodevelopmental,WM tract OD,0.0,ADHD,1994,False,ADHD,IDP dMRI TBSS OD Anterior limb of internal capsule L
MDD_vs_1993,0.185109314678029,0.0592974821904798,0.0057013851263375,internalizing,WM tract OD,0.0,MDD,1993,False,MDD,IDP dMRI TBSS OD Anterior limb of internal capsule R
1993_vs_CUD,-0.223426626511345,0.0585712827342054,0.000508314206721,WM tract OD,substance use,0.0,1993,CUD,False,IDP dMRI TBSS OD Anterior limb of internal capsule R,CUD
1992_vs_BD,0.156522018462155,0.0403887317265903,0.0004019877579264,WM tract OD,bd/scz,0.0038779123949389,1992,BD,True,IDP dMRI TBSS OD Cerebral peduncle L,BD
1992_vs_MDD,0.0643098985606924,0.0190114054514521,0.0024230937429984,WM tract OD,internalizing,0.0145592053349924,1992,MDD,True,IDP dMRI TBSS OD Cerebral peduncle L,MDD
1992_vs_PTSD,0.0937648470335439,0.0232956953504956,0.0002217281197342,WM tract OD,internalizing,0.0073791652279419,1992,PTSD,True,IDP dMRI TBSS OD Cerebral peduncle L,PTSD
1992_vs_SB,0.110669581275319,0.0357894829230444,0.0062496193079387,WM tract OD,suicidality,0.0,1992,SB,False,IDP dMRI TBSS OD Cerebral peduncle L,SB
1991_vs_TUD,0.0603508236478343,0.0112926558973279,4.5593341212277014e-07,WM tract OD,substance use,0.0231508849462766,1991,TUD,True,IDP dMRI TBSS OD Cerebral peduncle R,TUD
0820_vs_SCZ,0.157720253404306,0.0434309074857292,0.0010074380051751,cortical area,bd/scz,0.0,0820,SCZ,False,aparc-DKTatlas lh area lingual,SCZ
0820_vs_TUD,0.0474122356660153,0.0150982346085116,0.0053781782940328,cortical area,substance use,0.0090942005589204,0820,TUD,True,aparc-DKTatlas lh area lingual,TUD
PTSD_vs_0440,0.341192909521346,0.104265594800332,0.0035087575958793,internalizing,regional and tissue volume,0.0,PTSD,0440,False,PTSD,aparc-DKTatlas lh volume cuneus
